uniqueidentifier,amount,date
bca-3b8e9f6f-c7eb-424b-8aee-483756f60b30,-821000.00,2024-11-01
bca-30cb16ac-dd4d-4428-9e6d-75bc657ef164,-599000.00,2024-10-31
bca-9684eb3d-3ea2-471b-8b43-4cd07fe21cae,871000.00,2024-10-29
bca-052feff4-dd18-442c-ba3f-684ea3de4596,-422000.00,2024-10-29
bca-ba84b83e-908d-47a6-a109-67e16214e6df,861000.00,2024-11-01
bca-d9b2efdb-769a-4dbe-b0ec-bc69981f5421,-263000.00,2024-11-01
bca-1d775f3d-e728-4d8c-b290-a88677d7e4bb,633000.00,2024-10-29
bca-1e31b90b-e4c0-4d9d-9428-898e0bc62b95,814000.00,2024-10-29
bca-631b4af1-05a3-4b9c-b68a-133b6bcfe264,752000.00,2024-10-28
bca-d76a9d43-e15c-4446-9f9f-28f22a4a1a17,801000.00,2024-11-02
bca-7ca0bf1b-859c-49e6-95f1-70fb5f6674eb,-798000.00,2024-11-03
bca-64f7aec4-8bba-4d58-a8de-180c90c78eb8,-334000.00,2024-10-28
bca-2445f20e-8b0a-45ab-a306-2da9e98ddd06,189000.00,2024-10-30
bca-30beec5f-0303-452b-9ade-43b9d578e00f,-248000.00,2024-10-31
bca-fd556c6c-2c08-49df-b177-7e330a1357fa,-636000.00,2024-11-03
bca-22d77b46-246d-4430-97f8-5810a951262b,85000.00,2024-10-28
bca-901d7e9f-1acb-436a-b7aa-e4b953b9c28e,567000.00,2024-10-28
bca-1336f69b-5195-412a-8da2-6aa3d0eaf34a,184000.00,2024-10-31
bca-eac2cd68-e405-4d53-881d-6165428f3454,396000.00,2024-11-03
bca-31de01da-7daa-448b-8e07-bd5958ba4728,-882000.00,2024-10-28
bca-ac6d1a8e-6ffb-4400-b828-dea682251ff4,387000.00,2024-11-01
bca-aab97346-8c7e-417e-a3f6-6f3f776e9877,-88000.00,2024-10-30
bca-0fc5259c-62ff-4520-b4e5-e7343703eb95,-987000.00,2024-10-29
bca-bf3a0ebe-d6f1-4d0f-b7c6-3365b87b111a,-510000.00,2024-10-30
bca-a38489a0-d34e-435f-b622-542bfd4e0e07,318000.00,2024-10-31
bca-daca1ffe-ef39-434b-ab23-9f45901cd434,24000.00,2024-11-02
bca-76094f25-bdbf-4a3a-96bb-4afb784b58e0,-348000.00,2024-11-03
bca-bcc9d7b1-6af8-4dd9-b1b1-16209761506a,-351000.00,2024-11-01
bca-17f96bb1-c16e-4574-8465-bf6ed8dfd255,-774000.00,2024-10-28
bca-3c3da0cb-0602-4bec-b2e6-ab57f7e1f66f,-383000.00,2024-10-31
bca-5c11e555-dff2-47b8-8aca-0ccf3477ab09,148000.00,2024-10-31
bca-ce3877c7-181e-4be9-8f3d-3cbf8f874e56,-777000.00,2024-10-31
bca-9609748e-5963-46d8-ac22-05a111c434e6,-220000.00,2024-10-31
bca-4e082d67-26a5-4f1e-861a-44b53154b14a,571000.00,2024-10-30
bca-8bf406e3-7fd4-48da-bd3e-abd0a614621c,-930000.00,2024-10-29
bca-cae1ac50-7bc7-46cc-9e94-84be862783ff,617000.00,2024-11-02
bca-7ca9cbd5-63c5-4335-a10d-8701db7395db,-520000.00,2024-11-01
bca-1a144dac-8ade-40ff-816d-b7bd2403afd5,669000.00,2024-10-28
bca-16e21238-3782-487c-8193-268079375d93,-172000.00,2024-10-29
bca-e37e0d10-4667-44b8-8217-8d7c408a70eb,346000.00,2024-11-02
bca-bddc22df-1d3a-459b-a9d1-fad3dbc04f30,275000.00,2024-10-31
bca-abd9e9b0-910b-4280-9cdb-796e3deab493,-240000.00,2024-10-28
bca-10e93c3f-1f1c-4534-89f9-95038503d391,-589000.00,2024-10-31
bca-58e025f3-056a-483b-8eb5-cc735edc20f1,670000.00,2024-11-02
bca-4a7b66e9-60a9-4d33-a6b5-23aff437491e,702000.00,2024-11-01
bca-da412737-7943-45f4-930f-a2cb86499712,497000.00,2024-10-30
bca-2bdc7354-76fc-42cd-ae6b-8f252e8f96a5,738000.00,2024-11-03
bca-cf982b4e-f217-449a-bff1-84f96646df1a,566000.00,2024-11-01
bca-cd749988-b1da-42da-8608-5c414eeb49d5,177000.00,2024-11-03
bca-ceacdb18-c333-4952-85af-2399e767307e,967000.00,2024-11-01
bca-b84dc5a0-73d9-4849-85a7-92cb5680b752,575000.00,2024-10-28
bca-9c330018-c636-493c-9b3c-d4d29b6fd34f,55000.00,2024-10-28
bca-34deaf88-8880-4b89-886a-d41483f7b2fd,-475000.00,2024-10-28
bca-f177bdff-b314-4bfd-b32d-4005a9a8a71e,42000.00,2024-10-28
bca-9b720b9a-0f40-4fd6-81e4-68a02f5b9697,312000.00,2024-11-02
bca-44b5f66f-f075-419f-be68-9168d38b0489,-835000.00,2024-11-03
bca-4906d4cb-63b0-45d6-8e8e-e1234bc4aa64,-4000.00,2024-10-29
bca-55936358-023b-45a6-b668-dddcdad3e8d7,203000.00,2024-11-03
bca-610f183f-f3f9-4c65-9ccd-fa5e409176b5,91000.00,2024-11-02
bca-bdf5ab7a-4f6f-4864-ba23-14191f8db688,-57000.00,2024-10-30
bca-bae6dac2-d92a-4ce0-b3fe-e279b916c8e7,2000.00,2024-10-31
