uniqueidentifier,amount,date
bri-b581d06a-755d-4558-a15e-7796cfcc8dbd,886000.00,2024-10-29
bri-5f678d5a-ad66-4c61-a51f-0b70461d570c,987000.00,2024-10-29
bri-b13605b7-6714-48e4-9ce3-762f55d7fdc0,-201000.00,2024-10-31
bri-9305ef4d-570b-423c-9780-4364396fc4e7,-201000.00,2024-10-30
bri-93d693e1-910c-4b88-bb63-89490a5a74b5,-238000.00,2024-11-02
bri-979895ea-b39a-4a2b-aa6f-509df7d1cbed,-161000.00,2024-10-28
bri-b216dd73-d2dc-452c-8daf-c6945d7d46e8,216000.00,2024-11-01
bri-eea02bf7-b24d-4752-a64d-79c2f741f8d6,954000.00,2024-10-31
bri-e0677920-c358-457d-a6db-30c4f7eda31c,583000.00,2024-11-02
bri-d57ce641-d391-4ce7-9e4b-1a95c3f6e330,-520000.00,2024-10-31
bri-68175c3a-2f18-48e2-b2a1-2050b2068493,-493000.00,2024-11-01
bri-f7f8ddd1-404f-4659-9e71-60a2057764a8,39000.00,2024-10-29
bri-231ef8ad-4d13-459c-8446-5a336f55ee54,716000.00,2024-10-28
bri-ba6e462f-7ae6-4db7-b002-dbd51831c1a4,222000.00,2024-11-03
bri-d26c0bc1-97c6-4242-8247-f409f40f7c3f,146000.00,2024-11-03
bri-070c1642-46aa-4d7c-8bbf-ba4c38b55229,148000.00,2024-10-28
bri-d17b990e-20e6-40dd-b61b-f4c95098763c,116000.00,2024-11-01
bri-749518ac-692b-4d76-980d-2670492d5e6e,-475000.00,2024-11-02
bri-6df5b6fe-697e-4c91-95a8-18cee1547b1d,-719000.00,2024-10-28
bri-03a23830-2e67-4d92-a2e9-a1a41882b0d7,709000.00,2024-10-29
bri-60cbf22d-417d-43ac-a740-c7a0156699e2,-967000.00,2024-11-01
bri-0091830b-c547-4ac1-8174-618d06822b4f,997000.00,2024-11-03
bri-f93139fa-4f03-41a7-a527-90530a4e3e02,321000.00,2024-10-30
bri-faca10a2-7960-41d1-8d4c-1fe05db2da48,-543000.00,2024-11-02
bri-4e192331-5b46-43db-abb2-7e33145bc967,-397000.00,2024-11-01
bri-4c353430-a602-4035-bb41-782c659a1be5,-306000.00,2024-11-01
bri-7be71940-d63a-4178-8670-d339d16b2634,-295000.00,2024-11-02
bri-c76131f7-56d0-4d01-aef1-a099ed103fc3,626000.00,2024-11-02
bri-66ab32e7-49bf-46f5-b3cd-bd82979ef13a,-92000.00,2024-10-28
bri-8c243b53-2c4b-423e-87d5-3bdfc188d19c,695000.00,2024-10-30
bri-bfe556df-1739-437e-8edc-ab71d2ccd9e9,-323000.00,2024-10-29
bri-092ee8a8-cd58-4fa0-a6f8-d569c008fa3a,186000.00,2024-10-31
bri-3b9d4b5c-98d1-41f7-8262-db1e0b5f5a7f,556000.00,2024-11-01
bri-26787257-918e-4239-9c05-d2d2adcd2e3d,-212000.00,2024-10-31
bri-08cb05be-78f8-45f3-b020-e8921e390f46,-304000.00,2024-10-30
bri-b824894d-eea9-49aa-9135-dbbc982d2d2c,232000.00,2024-11-02
bri-eba30bda-2e33-4e6d-a79d-69d488b1d586,-310000.00,2024-10-30
bri-7a2f0613-5618-403c-b888-d8a3cd9be9e6,-193000.00,2024-10-29
bri-6a5bb92d-b193-4267-bf2e-e00cc0999abd,903000.00,2024-10-28
bri-14278523-eda6-4d56-9ea9-76574589062c,176000.00,2024-10-29
bri-62c1330b-5913-458c-a894-45573f6c5c24,-474000.00,2024-10-29
bri-6fc7c918-8a9a-4180-a254-8dd4757e4fa6,327000.00,2024-11-03
bri-2d18f06b-b25c-46c3-8c0c-9d3a8fadcc78,319000.00,2024-10-31
bri-0d331213-5e1a-4b48-8612-2576cc4bcb6a,-741000.00,2024-10-31
bri-279d5e71-ef11-462e-a3f4-0aeb12aebed5,858000.00,2024-10-28
bri-4c072e21-4ede-42c6-b8b2-c88928b56c7a,6000.00,2024-11-02
bri-331a18b8-7733-4041-b115-1a344af4e6c7,-8000.00,2024-11-01
bri-8ff14e91-3cb5-40d5-8d7f-c9c7c9cf4687,-406000.00,2024-10-29
bri-d7a0574c-4f72-40a2-90c5-7320fe742376,-317000.00,2024-10-28
bri-5b7de7fb-867d-4f70-9ad5-abc84d6971e6,-750000.00,2024-10-29
bri-61096690-5250-4f0f-862d-9e1b096dc49a,947000.00,2024-10-30
bri-8ebd1a84-34b3-45c2-9051-1f455118bb4b,-886000.00,2024-11-03
bri-9f8aa33a-2193-4d0d-8657-cf2c4c032776,-382000.00,2024-10-29
bri-35680c46-c7fc-49b9-9aed-be67f0c0a204,-234000.00,2024-10-29
bri-a7d5ab46-e96d-4bba-bf65-aad4ec6397af,542000.00,2024-11-01
bri-74fa1de8-319c-4ba1-8717-cb3994c83f7a,188000.00,2024-11-01
bri-ae0124ac-4f24-4fd3-b2fb-8680a940bb14,365000.00,2024-10-30
bri-91bbc6d3-298e-4b82-9ad1-fddd8f8e2f99,-745000.00,2024-11-02
bri-db54d336-da69-4aaf-95fa-3a936bde7015,-744000.00,2024-10-31
bri-b9a8059a-69b7-45a8-a473-14b3bdd428a1,990000.00,2024-11-01
bri-79484a02-e5ec-46d1-844e-c676b38ae6b9,132000.00,2024-10-29
bri-fc763aeb-71f5-4aeb-a0e4-98b4aa5a2bf5,97000.00,2024-11-03
bri-9d296a1c-a759-4605-9f65-70b5e0c88c62,628000.00,2024-10-29
bri-47e53260-762f-45cb-8f31-d125afd4dc62,464000.00,2024-11-02
bri-bb99b478-90da-447d-aa34-be333a85b18d,484000.00,2024-11-03
bri-7409adb8-668c-42c2-a5b3-e188280103b5,-602000.00,2024-10-30
bri-960fc532-4fe3-4788-a7a6-e272f471c370,970000.00,2024-10-29
bri-bf9df6ad-96d6-4efd-b1a4-2597c191137d,843000.00,2024-11-02
bri-6f6efd70-73ef-4903-b609-afe1e45079f9,-798000.00,2024-10-28
bri-b76a5a08-1b5f-4204-9b2c-21eb2168c42d,-776000.00,2024-10-29
bri-938618df-1fd4-4a33-94eb-4cdf5ff294b9,918000.00,2024-11-02
bri-b0d46859-8df3-44b9-9df1-621b0056eb13,652000.00,2024-10-31
bri-0b25bf7f-eacd-4e03-a436-66a799d64617,-274000.00,2024-11-02
bri-ec906541-eb00-4cac-a4f2-95b7603961a5,707000.00,2024-10-28
bri-b9715fcd-77a5-48e6-9967-d14796cdc810,-465000.00,2024-11-01
bri-eaae84c1-14c6-4a44-9c20-be93a83dcbd5,-84000.00,2024-10-28
bri-cdc911ae-0b77-472e-8425-8817fa94db64,-24000.00,2024-10-29
bri-117df677-9312-4cad-85fe-0a383fb3d7c6,586000.00,2024-11-03
bri-11825cdd-9445-42f2-a052-1ea0296ba355,347000.00,2024-10-29
bri-c46c3ea8-1693-48f3-bffd-b85026e614c3,605000.00,2024-10-31
bri-9f8c8342-0343-458b-8c54-d11df5788ff6,-717000.00,2024-11-02
bri-fb437903-b4f5-4de2-8364-cf57f4e603be,813000.00,2024-11-01
bri-b5cd5561-3a9d-441e-8a6d-6b3ae496e6cb,912000.00,2024-10-31
bri-1aacd865-5736-4316-b346-91d4b1f018bf,-514000.00,2024-10-28
bri-86b05e0e-21de-4724-bbc9-c4c2f877e3c1,534000.00,2024-10-31
bri-e980e7e1-898d-4007-b9db-b57fa6a79450,631000.00,2024-10-30
bri-71fa18b6-7850-4557-ae12-8e02eda95837,-151000.00,2024-10-29
bri-89be6c5f-e37f-4f8b-9585-719e8b45b3e8,-615000.00,2024-11-01
bri-1ff66ad9-3946-464c-a7aa-5a319d4738d3,-889000.00,2024-10-28
bri-c8e1b3e5-894b-48ed-bde8-2e2d5d90e8d2,-882000.00,2024-11-03
bri-b195c2fc-fc11-4d10-8dba-fb6a43ac491e,792000.00,2024-10-29
bri-05147e38-b244-4f78-8eaa-a444025db396,-352000.00,2024-10-30
bri-b5790006-4825-4994-a6f3-94c6502337ee,101000.00,2024-11-01
bri-4d5a009d-277a-486c-8755-159aea42b1d8,-191000.00,2024-11-01
bri-34775900-b014-4b1a-b02c-aa2fa90c7306,839000.00,2024-10-29
bri-a75d2883-1a3f-4ad3-83b3-bc873e16a457,-20000.00,2024-10-30
bri-85824d71-9b33-460e-922a-7658e30b07fd,384000.00,2024-10-30
bri-a68c93f5-864e-4352-bbe9-b8f4b34a00ac,-693000.00,2024-11-01
bri-dcddadb8-77df-4e47-9b4c-882db89978e7,743000.00,2024-10-28
bri-73df6d0c-a469-4349-9497-38ff1737b2cf,199000.00,2024-10-28
bri-2117b0a8-e2d9-4622-8057-b9160e3e20ab,-810000.00,2024-11-02
bri-045307fb-bf1a-4b8e-9c20-cb163fe92944,-78000.00,2024-10-31
bri-b9a5e545-54ad-43e5-a264-1ae3d93faa4b,624000.00,2024-11-03
bri-6f1e1f41-c38b-4b3d-b830-26ce8a89924f,714000.00,2024-10-29
bri-afec6870-b274-42b1-bac5-61706a9cbb9e,208000.00,2024-10-30
bri-c4629374-d7b5-4a6d-ac18-3642307a7a98,254000.00,2024-10-29
bri-47e39616-1c04-4e5f-aa12-1ed141ced8c6,-806000.00,2024-11-01
bri-40db681e-6df0-419c-9bb5-0d5c7b45ef22,-668000.00,2024-11-01
bri-e2c2b9e3-0408-4421-95b0-f837c3df7395,136000.00,2024-11-03
bri-f2e66fa1-5963-4bc6-8d3b-714b24e66ba6,-604000.00,2024-11-03
bri-f7f81cf4-6dd1-40f6-bc3a-941ff6e79a48,474000.00,2024-10-28
bri-940a8e5e-d37f-4a1c-8e96-0e613bde5d28,325000.00,2024-10-30
bri-106cfb7b-b0dc-4d62-bef1-a75a34efd21f,379000.00,2024-10-30
bri-2ced88fc-083b-4749-96e7-0ac7a056fe46,242000.00,2024-10-28
bri-228b1572-b611-4689-9953-2a8a55357a6d,-837000.00,2024-11-02
bri-4390a30a-9e82-42f7-9534-97f744148ac2,-330000.00,2024-10-29
bri-fe1dc3f0-2a1c-4375-9558-191c50a7ebb4,246000.00,2024-10-31
bri-f16629b7-2acb-4b9f-82e8-9a4108ffabd6,-424000.00,2024-11-03
bri-24a73e7a-6f63-4dd4-b4c8-1b94fa0ed4fe,-553000.00,2024-11-01
bri-18b18a00-c01e-4e79-a517-ac818b7727ea,895000.00,2024-10-31
bri-f312f451-53ef-4cad-8956-169f1abcf8e8,232000.00,2024-10-30
bri-23917873-f3f5-4199-8c41-bc1af0b20bf5,62000.00,2024-11-02
bri-fa419d7d-eb32-4c57-8077-75f4d7c1f7c9,-959000.00,2024-11-03
bri-7ad2dbe3-e9ec-4e8c-a621-ce137a93f09d,58000.00,2024-11-01
bri-c8635c9b-b06a-4c6b-91fc-561c52248a57,643000.00,2024-10-29
bri-94a064e2-862c-4160-9e7d-e85f7354523b,-373000.00,2024-11-01
bri-8a7b5f52-2234-4029-b76e-3e20d8772113,-920000.00,2024-10-30
bri-6c893ba9-32e7-4347-8eb4-7cc2c4601c96,822000.00,2024-10-29
bri-a8dfb7c9-bc39-4487-8b40-0a6d79d04077,293000.00,2024-10-31
bri-d229fd40-33d8-4248-8a1f-509c269620a9,427000.00,2024-10-28
bri-e83f733e-8ea4-48f2-b982-2b60a6e5ffe4,-525000.00,2024-10-28
bri-75a33d16-ce16-41b0-b1a0-fa575cfb3746,922000.00,2024-10-29
bri-a286001f-9088-4ae9-8688-522fec595296,530000.00,2024-11-03
bri-0db6d4d4-70cd-4d6a-920b-67b20d45c7df,-252000.00,2024-10-29
bri-d034427f-65e4-4a7b-b3e7-4a347ffa63c1,-239000.00,2024-11-02
bri-dd1a30e5-56b8-4fdb-928c-9c5f2d68b33b,-343000.00,2024-11-02
bri-dd90b8c6-106d-4f7d-af11-b8e6e4b2a95b,21000.00,2024-11-03
bri-2470039a-68c9-42a6-be8b-e7dd415873f3,158000.00,2024-10-31
bri-e185bec7-c700-4b08-8aa2-e155b8379c87,367000.00,2024-10-28
bri-4868867d-ed62-49c1-892a-a3854a4d0a4f,-657000.00,2024-10-29
bri-42dc5a57-c3d9-4fc7-ad65-769f2b51bd09,-544000.00,2024-11-02
bri-05a80897-17bc-4889-8c2e-83af88572d9b,-697000.00,2024-11-01
bri-600742dd-56cf-476b-af09-1d0e44ae5412,652000.00,2024-10-29
bri-2be36d86-54f1-4912-80fb-b612b1741dc7,765000.00,2024-10-30
bri-2809863d-8258-4844-8ed8-11c57a17cc25,-489000.00,2024-10-31
bri-4c8801f9-21e3-4868-a7c5-d93a74ad8290,229000.00,2024-10-30
bri-02f76f6e-5e8e-4689-9995-8d116da4bb8f,259000.00,2024-11-02
bri-34175629-6343-45ac-b6b0-061580768914,309000.00,2024-11-01
bri-939cfcfd-878b-4557-bff5-e2818753a4ab,170000.00,2024-11-01
bri-0fa09b50-3b4b-44fb-9c7e-5c338a1eed61,-706000.00,2024-11-02
bri-81226fb4-1c85-4187-8f4c-2137e62ddd65,555000.00,2024-10-29
bri-f71d6fd9-0534-46e7-ba6e-872bd09761f2,-375000.00,2024-11-01
bri-d45629b6-f6c2-4c4a-8505-6dc3d3546761,388000.00,2024-11-01
bri-9c300e47-d6a4-458c-a627-a3dc1949e27f,-709000.00,2024-11-03
bri-0d5f2efc-e822-4b21-8a43-e12d81420a4c,45000.00,2024-11-01
bri-2052fe0d-b9f2-43c1-9cb3-82cbcf777136,-510000.00,2024-10-31
bri-36d6a338-a095-417a-b3f8-7e58fffa5825,-439000.00,2024-10-31
bri-fbeb3cd4-ba42-43a4-999c-31cb710245c8,441000.00,2024-10-31
bri-0594c13f-7479-40f6-910c-ac58569fdac6,-196000.00,2024-10-31
bri-6de7959a-f740-400a-84fc-fc0ddf766ce9,-409000.00,2024-10-28
bri-a1db43f2-c783-4d9a-b435-86296022c9db,-7000.00,2024-10-29
bri-e32ef7e7-4fa4-453e-a399-13088da1c779,-115000.00,2024-10-30
bri-6adc9744-f103-4e7a-bdf8-5e96527d5d03,-812000.00,2024-10-29
bri-a9c4415c-de23-49d4-a88e-e72b0ed36b4e,-357000.00,2024-11-03
bri-eb8c1c2b-1f38-452e-bbaa-78fa15b92965,85000.00,2024-11-01
bri-5876bea7-ff8b-444f-8104-6cfe2fcc047e,-896000.00,2024-10-30
bri-e07ae80d-2311-4fbe-b742-5021c509aef4,202000.00,2024-11-01
bri-60dfc08e-90db-4703-8e32-7cf7f3fc19f0,937000.00,2024-11-03
bri-40a0dcb8-e9eb-4d14-ac41-b27fb5f88d33,242000.00,2024-10-31
bri-6f94d069-6df0-44a2-bfc0-5d081f028f79,32000.00,2024-10-28
bri-e351edef-5864-40b1-98b6-78941f3dfe8a,761000.00,2024-11-02
bri-9999ea34-6d27-4dfa-8f6d-5ccab4740c2c,-215000.00,2024-10-28
bri-cb79d2e9-65e8-463e-985d-72752580d9e3,-65000.00,2024-10-29
bri-e1243d37-4bb0-4e0e-a7f1-e0ecf3dc2da4,654000.00,2024-10-28
bri-39ece560-d263-452b-9221-7808f614f95f,457000.00,2024-10-28
bri-3fd832e6-937d-4832-8d99-0052b229623b,-974000.00,2024-10-29
bri-f9917c55-bf89-4dd5-b8c2-313d2153c92c,405000.00,2024-10-29
bri-41c43bd0-5744-4325-ba8a-658d4082fee5,-127000.00,2024-10-28
bri-b19ea1bb-05dd-436f-8fd3-42cd894efcfc,982000.00,2024-10-28
bri-e18ada1a-57bb-45b9-9555-c863553ee8d8,285000.00,2024-11-03
