uniqueidentifier,amount,date
danamon-eebac13f-f680-4c07-a21f-009c23de8993,18000.00,2024-11-03
danamon-bd228077-33ff-40d3-a77a-dee4f01a23d6,453000.00,2024-11-03
danamon-3ba08076-3949-47e1-afdc-70ec84719a3a,-359000.00,2024-11-01
danamon-3bc78c6a-a4b2-4d49-9042-7386b79a94fe,-901000.00,2024-10-30
danamon-4f6e8f55-61b9-4469-8cb2-a5babc9c636a,112000.00,2024-11-01
danamon-0b9be0d4-7362-412c-a5c9-aadf9bc92188,412000.00,2024-10-31
danamon-4524811b-6300-4c15-bd25-4771228641f4,-580000.00,2024-11-02
danamon-534b3cae-b235-4998-9177-220aee96805e,-39000.00,2024-10-30
danamon-ffc388ff-57c6-4445-beac-0374db318936,825000.00,2024-11-03
danamon-c69ff275-700d-479a-934c-0bad257c1df2,-750000.00,2024-11-01
danamon-38597a9d-a5b8-4aaf-aa4d-d5960020d485,-999000.00,2024-11-03
danamon-d49c6934-4d9f-4afe-bcda-247a9f2997fc,-858000.00,2024-10-28
danamon-acf9b2d3-8a8d-4141-a6e4-4d350b5d46f2,80000.00,2024-10-29
danamon-8ea1316a-7121-4089-b8de-f3ce6824d533,-367000.00,2024-10-31
danamon-907aa8d7-b783-402b-9308-b837aa66e853,-678000.00,2024-11-02
danamon-33869c21-fee3-4fff-be86-189683e19110,-333000.00,2024-10-29
danamon-e98d8ef4-b904-467d-9e44-30399877daa3,944000.00,2024-11-02
danamon-54a1a086-31ff-4a61-a168-06fd47a80664,-320000.00,2024-10-29
danamon-41a94060-34b8-43ab-b9b1-a9e8dc3340eb,-629000.00,2024-10-28
danamon-5dfebb3d-3787-45ca-802d-a7932e015f41,440000.00,2024-11-02
danamon-803388a9-dd26-422d-82db-26527d166adb,-240000.00,2024-11-01
danamon-0228e1d9-0c8e-44df-bdab-948b43262df1,8000.00,2024-10-29
danamon-cb200fe1-4548-4d93-8d4b-07110ab59624,293000.00,2024-10-29
danamon-8d6e8bf7-4329-4de9-9271-c7a29871832c,832000.00,2024-11-01
danamon-1325ee2e-777e-4031-b331-389b8297a984,382000.00,2024-10-30
danamon-75945103-48a0-4fe7-a74e-95d45401a4f9,75000.00,2024-11-03
