uniqueidentifier,amount,date
mandiri-0d31194d-3e02-4af3-83bf-29795f427ec4,216000.00,2024-10-28
mandiri-9e108d7b-5a59-4a0b-88ef-22f2580c8454,-834000.00,2024-10-28
mandiri-39600189-5d6c-43f7-bf4c-fd53665da0e8,786000.00,2024-10-30
mandiri-c727ab1a-cac8-4305-a5e0-289d79af287c,-225000.00,2024-11-03
mandiri-1b6669d5-f6e9-4cbe-9a3f-27bd9a455259,216000.00,2024-11-01
mandiri-b5219fa1-e607-46a2-b374-ca9bd9723754,-692000.00,2024-10-30
mandiri-7b88d213-a090-495b-8897-9bd3dc46f7f4,-459000.00,2024-10-31
mandiri-ed275be0-2a1f-472b-a72f-9912c9e64083,-726000.00,2024-10-29
mandiri-166bc551-2c0a-4158-ae28-94ee3c352eb3,-358000.00,2024-10-28
mandiri-854b4b42-90ff-4613-a2ab-0d6c932e7d65,581000.00,2024-10-31
mandiri-0b0b4645-0d65-4181-8a22-a4a6250e51e7,909000.00,2024-10-28
mandiri-a22500fa-6551-4b24-817f-ce6afc964c95,-573000.00,2024-10-29
mandiri-ed575741-b368-49f7-b317-e6ffe3eedb6a,406000.00,2024-11-03
mandiri-e52691e4-9b21-44e4-9398-99713c15b100,710000.00,2024-10-29
mandiri-0d3be994-d50e-4e3e-8ee8-08a492ae4e90,-947000.00,2024-10-28
mandiri-780e175d-0aba-484d-a5d0-7dff7a0bb455,421000.00,2024-10-31
mandiri-bfd9e7fa-4be2-470a-b844-ba0b3451681a,544000.00,2024-11-02
mandiri-8d4c6efb-bd14-4b4b-a407-c24d33cd32f0,829000.00,2024-11-01
mandiri-002a3ccf-0917-4561-a6fd-43cb0c27be7d,-456000.00,2024-10-31
mandiri-da0cc680-ee7a-4d86-b399-f0a617de8aae,165000.00,2024-10-30
mandiri-900b9c15-5d78-41e7-b9d3-aa7fc8956eb1,113000.00,2024-10-30
mandiri-57d41f0f-7087-49bd-95e8-33c3abbec7d2,7000.00,2024-11-02
mandiri-45881e8e-e010-4d9c-8942-c2ccf7f71be4,-577000.00,2024-10-29
mandiri-850fd24d-89a3-4160-a867-41a91911c0f7,-567000.00,2024-10-28
mandiri-5e7126fa-26ab-4334-b148-9b1b646ab39d,-780000.00,2024-10-30
mandiri-4a26afd6-53d6-4725-86cb-f013c75d1036,134000.00,2024-10-29
mandiri-801f6393-9542-4232-bbd7-84b9b23ea5c0,54000.00,2024-10-28
mandiri-14a29b42-6acb-42fa-90ef-669ffbfba706,648000.00,2024-11-02
mandiri-c50798ee-c7b1-4515-895f-25bb73e01dd9,-589000.00,2024-10-29
mandiri-2e6c4652-3c74-4a0c-83ef-6eca41504c81,-630000.00,2024-11-02
mandiri-186d56d5-ca46-4796-9725-a2494af9909f,80000.00,2024-10-30
mandiri-74711e91-3f64-4508-a959-3922dc63a372,874000.00,2024-11-02
mandiri-5ebf056f-b583-46c9-b628-f739bd75d57b,345000.00,2024-11-01
mandiri-bf7ef070-f0a8-4a97-9f6a-daf44d7481a6,729000.00,2024-10-31
mandiri-b51e4d2d-2c7d-44df-bc23-7f691ca9a184,956000.00,2024-10-28
mandiri-a0420f1c-f3a7-45cb-99af-d1ad257d71b2,-941000.00,2024-11-01
mandiri-e4a1b931-5066-43d9-96ad-9629937a03a2,816000.00,2024-10-30
mandiri-915fb2ed-303f-41d2-a928-a0111ba0b23f,-523000.00,2024-10-31
mandiri-2da5951b-86dd-4a9c-9e39-224867247bae,-19000.00,2024-10-30
mandiri-371968eb-80a5-4a19-b015-3c56a57a666a,425000.00,2024-10-31
mandiri-5c7894f9-1027-43ec-aeaa-91afe5f93b82,307000.00,2024-10-31
mandiri-9e9e840b-ef5b-47ce-8d61-8e0bae1b8208,127000.00,2024-10-28
mandiri-ad6dcada-b807-4644-98dd-0d069125f0e5,-453000.00,2024-11-02
mandiri-888eedb4-804d-4f77-94cc-04d54bb7a420,-608000.00,2024-11-01
mandiri-a586f3df-2abe-4b06-a0d7-610c910b989d,233000.00,2024-11-02
mandiri-bc78faac-f46d-46a1-bc68-6e08c695b925,718000.00,2024-10-31
mandiri-b0646010-0ac0-4fa1-86cf-71892918a289,-384000.00,2024-11-03
mandiri-4759ba28-8b11-4181-9b7f-7072d4e66654,-457000.00,2024-11-01
mandiri-e7da2f85-9402-4ac5-9fa0-3ee9afdcf48d,-790000.00,2024-11-03
mandiri-1d8a38d5-c0d9-457c-a155-651cc953a52f,-626000.00,2024-10-28
mandiri-8801c837-7571-4610-8db7-2f35c5f22343,83000.00,2024-10-29
mandiri-7aeb8057-2b14-4b87-9727-5b7856a98e5d,785000.00,2024-10-30
mandiri-3c7cfb52-667e-40ab-9075-f134328954de,-169000.00,2024-11-03
mandiri-1490d127-1045-44cb-b00c-8baeaa620a78,883000.00,2024-10-30
mandiri-3cdc631a-67da-44f0-91d8-343fa747777c,-621000.00,2024-11-01
mandiri-53ed2fb7-8215-4f0c-95a8-585e93b1f91b,-55000.00,2024-11-02
mandiri-af2dac69-837c-4a98-9aae-b89422090b18,-218000.00,2024-10-29
mandiri-09dc0525-3ab2-4730-b03a-b70ca9e6eb49,557000.00,2024-10-29
mandiri-b58acf56-4405-439d-8cfb-701a4ea8f147,627000.00,2024-10-30
mandiri-cee5c320-48c8-48e7-a2e3-8d7a6bae06ed,-235000.00,2024-11-02
mandiri-7be4fa69-27d9-4927-8b9a-1ff28d2410b3,758000.00,2024-11-03
mandiri-e973a4c4-ab31-4205-a26b-4289f0c251b8,764000.00,2024-10-29
mandiri-261dbbf8-6e05-40bd-b70c-fdecd7d14957,-505000.00,2024-10-28
mandiri-a1a7e625-567c-4d5f-a121-6dfc95a8c5bb,-987000.00,2024-11-01
mandiri-51977e65-2b39-4f5f-9686-441a64c07859,-431000.00,2024-10-29
mandiri-53c50714-88a7-47d6-a13d-dc85ff2abbba,-942000.00,2024-10-30
mandiri-8a997f47-b054-453b-a777-934f96404a93,-266000.00,2024-10-31
mandiri-b0ce7044-77ea-4aeb-b917-c035aae7b3f5,381000.00,2024-11-03
mandiri-40cc6f7e-ab2d-4075-b62b-11a922ab80ca,-824000.00,2024-10-29
mandiri-2d923ac6-e1db-4bd7-904f-aea4dab6a806,-627000.00,2024-11-02
mandiri-e9c3591e-76d7-4804-a27d-68813e12e01b,44000.00,2024-11-02
mandiri-6773957f-1466-49ca-84bd-3536b1febbd0,-447000.00,2024-10-28
mandiri-538380e8-9013-411c-b03f-530d2d9b0355,157000.00,2024-11-01
mandiri-1109b611-896c-4ae2-835c-69a210edc2f7,-185000.00,2024-10-28
mandiri-819661b8-e32a-4b68-b950-f59f99ce5300,-889000.00,2024-10-28
mandiri-d2b4f3e3-9fcc-4708-917d-c477bdf7d7b5,786000.00,2024-10-31
mandiri-da9c0e28-99b0-48e8-a482-1c24ec23afa8,-959000.00,2024-11-04
mandiri-95a2d981-b7f9-4f2b-b37e-c3ad46f3a45f,-778000.00,2024-10-30
mandiri-05331de7-8ee4-4a75-b20a-b2e477963f7f,-435000.00,2024-11-02
mandiri-6811baa3-e643-43e6-beed-ef33d72e7098,121000.00,2024-11-03
mandiri-770e1bc2-dd42-40b3-a83b-8b9aa1418a6f,984000.00,2024-10-31
mandiri-74314d3d-b3dd-4691-a90f-5efd870466e0,247000.00,2024-10-31
mandiri-7aff48f0-baf7-483a-b5ee-7c2acac3acad,-413000.00,2024-10-28
mandiri-2e130e3e-27e3-422d-8842-d5758eb060d7,34000.00,2024-11-01
mandiri-102b9ac6-9c70-4807-94db-7d158deaff9b,-258000.00,2024-11-01
mandiri-fa8bc8ff-9419-4567-8a60-a1ab954a354f,-132000.00,2024-11-01
mandiri-5a0a1d36-fe11-400f-b5ae-3ead72dcd7bf,638000.00,2024-11-01
mandiri-8bfaeab9-ee0f-4d67-87a0-0de7a8514a65,-100000.00,2024-10-31
mandiri-7a613274-fa2d-4d8d-83a6-3b11b38daffe,395000.00,2024-10-30
mandiri-9880a381-8247-449e-9ffc-c915d95ce34b,-856000.00,2024-10-30
mandiri-6dffc3a1-ac56-4a0c-81ad-c7587533cd8c,-702000.00,2024-10-30
mandiri-cc89bca0-1086-47d1-9121-5b78ada874e3,695000.00,2024-10-31
mandiri-896165ea-417c-4716-8330-a33853e94dac,721000.00,2024-11-03
mandiri-4b9f24c7-1837-4550-b081-fa990f39c47e,-227000.00,2024-11-03
mandiri-8313f78e-16b5-4d72-a714-5deda289acdc,-956000.00,2024-11-01
mandiri-849cbe89-44b2-4fae-9ed9-e4388204c9bb,-275000.00,2024-10-28
mandiri-3f073c43-83a8-460e-80df-c615bc32f9a5,613000.00,2024-10-31
mandiri-bc1d97ef-321d-4123-b473-5f35be85e6a2,162000.00,2024-11-01
mandiri-4e53b7db-a2a2-4a45-8169-9d85cc8b5252,-200000.00,2024-11-03
mandiri-9d9a3084-bba4-4d30-93bf-a60f8bc7edd8,-277000.00,2024-10-28
mandiri-d06bea41-fb5e-44e8-82bb-67503a6627e9,-473000.00,2024-10-30
mandiri-c4b9eae7-1f77-42d1-b24c-7e906403310d,-788000.00,2024-11-04
mandiri-37c589e0-0ef9-4573-8fb4-7c6c167ea855,-965000.00,2024-11-04
mandiri-eaac890c-ea00-4c9a-8edf-bf84a18bad9b,858000.00,2024-10-31
mandiri-246f2bcd-11dd-44ef-8e40-2dd7ca455da5,29000.00,2024-10-29
mandiri-0759ed38-caee-4716-9ad1-90346cd2b7d5,-760000.00,2024-10-28
mandiri-d442fe7a-6ada-4b15-a1ff-c03f740b225f,-259000.00,2024-10-28
mandiri-57aae2ae-9705-496e-b431-0ebe41c53590,-334000.00,2024-10-29
mandiri-e57e17c8-83e0-4ab5-8dc6-b3f595369f3e,32000.00,2024-11-03
mandiri-870fa794-c9f5-48e8-adb1-45b960b2a198,897000.00,2024-10-28
mandiri-199c6536-4b42-441f-83cf-4ddf0eb5f215,-392000.00,2024-11-03
mandiri-f088784a-e816-4a7b-8230-a2cfc20e6ea1,603000.00,2024-10-28
mandiri-1d15810e-bfef-4fe7-be26-05a1baa612ea,-982000.00,2024-10-29
mandiri-8f8fa63c-9576-431f-8759-0bc610099a93,-706000.00,2024-10-30
mandiri-9fdf80f7-bdce-4483-9574-6e243bf5d403,-645000.00,2024-11-01
mandiri-05d4e831-a9c6-40c7-86c1-fa49f4c078d3,-593000.00,2024-10-29
mandiri-9ac7d40a-be43-4ef7-83eb-9d0365ab38b7,-700000.00,2024-10-28
mandiri-18667afc-9392-45c7-94f1-d68d644a99ca,248000.00,2024-10-31
mandiri-6af99c3e-f487-481e-b06b-29b373a6d969,-429000.00,2024-10-30
mandiri-78d8310f-4ee0-4c91-ab29-7f88ef353781,-28000.00,2024-10-28
mandiri-c5a10557-708f-48ea-8579-70b6bbbd6e1c,954000.00,2024-10-31
mandiri-c4b14d9a-aaf6-418c-a9a5-a3fb4a660cc2,830000.00,2024-10-31
mandiri-36347de1-2b21-4aa6-8148-a11362feb47a,-421000.00,2024-10-28
mandiri-92d5a939-8b26-491d-9f87-73d802203114,543000.00,2024-10-30
mandiri-45b443eb-d6b3-49e2-bef7-ef4961158a1f,810000.00,2024-10-30
mandiri-0fba6ec7-de44-495c-84b3-d1ccde5e9e2f,-170000.00,2024-10-29
mandiri-8ede6df7-59ea-4be4-b95d-81055f8656fe,-385000.00,2024-11-01
mandiri-6a17f826-0ef0-4db1-9a77-f002feaff788,-13000.00,2024-10-29
mandiri-573cc6e3-fb4e-4b1c-b3ce-92f312153dfd,-916000.00,2024-10-28
mandiri-a89302ff-333e-4ea0-a11d-9f71a399c55a,440000.00,2024-11-04
mandiri-e5612f0e-4c4e-49f5-b3a3-4fd79cce4583,742000.00,2024-10-29
