trxid,amount,type,transactiontime
1f008f11-b4f8-43c8-8944-134dc3d0b8ed,441000.00,DEBIT,2024-10-31 09:03:14.773889
946f90a2-e977-465f-b1c1-1e9005097643,197000.00,DEBIT,2024-10-28 04:08:53.773889
97fd1fbb-37f9-44d7-9f21-72331e409c34,192000.00,DEBIT,2024-10-28 08:52:26.773889
e9710f8f-1885-4413-a0b8-b8033c43a3f1,340000.00,CREDIT,2024-10-30 09:48:22.773889
eee57034-0035-4a9e-8e1c-7563a81481d9,343000.00,CREDIT,2024-10-29 13:12:08.773889
c57796c7-ab6d-4e62-9c83-93197a60117b,42000.00,DEBIT,2024-11-03 09:27:20.773889
9101a42e-1e61-4e45-be56-b42dea7900c5,796000.00,DEBIT,2024-11-03 09:56:34.773889
5054cfb1-7109-4873-864b-49e2ba480e07,156000.00,CREDIT,2024-11-02 01:00:02.773889
195be122-a7a2-4150-9c6a-ca8ea9886b0c,613000.00,CREDIT,2024-11-01 14:13:57.773889
694f9470-4bed-4288-98e1-c3d1cb7d1197,899000.00,DEBIT,2024-10-31 08:18:26.773889
b1a022c5-b6c1-42f7-9a10-9bd6b3d3f504,439000.00,DEBIT,2024-10-30 12:42:05.773889
33184542-e5c3-41d5-abfb-158546b91a6b,727000.00,CREDIT,2024-11-03 07:50:40.773889
c99598b0-abe3-4b1c-9588-4583f636c2ad,758000.00,CREDIT,2024-10-28 03:04:18.773889
bfa7f730-8d6b-488d-8ebf-f408aed74683,526000.00,DEBIT,2024-11-03 13:52:06.773889
51ab43ad-e951-4db0-be39-7a56ffc72eaf,653000.00,CREDIT,2024-11-03 05:28:42.773889
4b71ae46-2999-4243-b4be-9c29581d3dc5,418000.00,CREDIT,2024-10-31 17:32:51.773889
0f0aa39f-38a4-4007-a3c4-f70e39e48a3a,310000.00,DEBIT,2024-11-03 10:56:16.773889
4df63bf3-6282-44cb-9fa3-670199642792,335000.00,CREDIT,2024-10-28 12:08:57.773889
3f5154f1-b80e-478c-bdd3-a5e59b192062,930000.00,CREDIT,2024-11-02 01:50:50.773889
53203a05-3669-4f63-aab2-cec98cae8781,260000.00,DEBIT,2024-11-01 08:02:49.773889
3a62ceeb-c05d-4842-a399-81fffc106c08,808000.00,CREDIT,2024-11-01 06:44:24.773889
d742a025-30a5-475b-829d-7a92951cc24e,86000.00,CREDIT,2024-10-31 23:33:19.773889
08734278-3682-4ee6-9615-55d1b1a598cf,524000.00,CREDIT,2024-11-03 18:36:50.773889
17a4cf63-171b-4d01-99a4-cc845d457dce,345000.00,DEBIT,2024-11-02 03:50:38.773889
9667750f-2a23-4d32-b508-a94c869177c4,867000.00,CREDIT,2024-10-29 15:04:18.773889
8fb27556-2596-4083-aa79-d59fe6c1a6e9,148000.00,DEBIT,2024-11-02 14:25:42.773889
074cc59a-3694-49ca-b102-64d870c03f05,376000.00,CREDIT,2024-11-03 03:05:47.773889
e02604f3-a531-4470-bffe-9791c81797b7,335000.00,CREDIT,2024-11-03 14:42:40.773889
76a26148-3b4c-4721-9fcb-df54be33e29d,828000.00,DEBIT,2024-10-28 17:17:19.773889
4403eabe-5f34-44b5-a49a-b1ccc115f0c2,399000.00,DEBIT,2024-11-01 21:37:44.773889
fe8a7900-3062-4d79-b88d-8b3c600f64e0,731000.00,CREDIT,2024-10-31 19:26:17.773889
b699664e-f237-42b5-b44c-ff2b02ae59c9,679000.00,DEBIT,2024-10-31 14:58:23.773889
23035c18-005a-4315-90f6-ca3ac84670bf,19000.00,DEBIT,2024-10-30 07:43:07.773889
3a6a1378-0219-4219-9e64-b06bc0fd2819,837000.00,DEBIT,2024-10-28 09:53:06.773889
